"Canton","Groupe / Genre de véhicule","2019","2020","2021","2022"
"St. Gallen","> Véhicules de transport de personnes",337,372,443,393
"St. Gallen","> Véhicules de transport de choses",2122,1665,1724,1486
"St. Gallen","> Véhicules agricoles",191,216,226,179
"St. Gallen","> Véhicules industriels",287,325,322,291
"St. Gallen","> Motocycles",2031,2588,3077,2613
"St. Gallen","> Remorques",1211,1264,1284,1212
"Graubünden / Grigioni / Grischun","> Voitures de tourisme",5086,3551,3814,3429
"Graubünden / Grigioni / Grischun","> Véhicules de transport de personnes",160,206,253,183
"Graubünden / Grigioni / Grischun","> Véhicules de transport de choses",851,655,687,593
"Graubünden / Grigioni / Grischun","> Véhicules agricoles",102,114,115,94
"Graubünden / Grigioni / Grischun","> Véhicules industriels",206,213,200,179
"Graubünden / Grigioni / Grischun","> Motocycles",698,885,983,908
"Graubünden / Grigioni / Grischun","> Remorques",542,679,670,548
"Aargau","> Voitures de tourisme",19500,14242,14566,13752
"Aargau","> Véhicules de transport de personnes",498,489,646,524
"Aargau","> Véhicules de transport de choses",2400,1860,2116,1815
"Aargau","> Véhicules agricoles",160,212,177,157
"Aargau","> Véhicules industriels",219,206,243,191
"Aargau","> Motocycles",2991,3765,4184,3536
"Aargau","> Remorques",1487,1493,1554,1506
"Thurgau","> Voitures de tourisme",6991,4954,5420,5291
"Thurgau","> Véhicules de transport de personnes",228,261,307,291
"Thurgau","> Véhicules de transport de choses",1035,828,960,747
"Thurgau","> Véhicules agricoles",139,154,160,107
"Thurgau","> Véhicules industriels",140,157,155,135
"Thurgau","> Motocycles",1265,1438,1833,1519
"Thurgau","> Remorques",909,957,1027,951
"Ticino","> Voitures de tourisme",14815,11046,11803,11228
"Ticino","> Véhicules de transport de personnes",137,175,226,225
"Ticino","> Véhicules de transport de choses",1487,1090,1246,1056
"Ticino","> Véhicules agricoles",54,55,63,53
"Ticino","> Véhicules industriels",113,145,139,94
"Ticino","> Motocycles",2350,2507,2986,2746
"Ticino","> Remorques",399,362,507,346
"Vaud","> Voitures de tourisme",25496,18632,19816,18072
"Vaud","> Véhicules de transport de personnes",426,483,640,577
"Vaud","> Véhicules de transport de choses",2681,2032,2265,1809
"Vaud","> Véhicules agricoles",251,280,261,235
"Vaud","> Véhicules industriels",233,167,174,159
"Vaud","> Motocycles",4001,4484,5379,4477
"Vaud","> Remorques",1275,1358,1453,1261
"Valais / Wallis","> Voitures de tourisme",8970,6546,7347,7174
"Valais / Wallis","> Véhicules de transport de personnes",256,331,376,319
"Valais / Wallis","> Véhicules de transport de choses",1264,1071,1179,950
"Valais / Wallis","> Véhicules agricoles",119,99,115,90
"Valais / Wallis","> Véhicules industriels",181,179,192,194
"Valais / Wallis","> Motocycles",1627,1846,2460,2118
"Valais / Wallis","> Remorques",894,985,1022,896
"Neuchâtel","> Voitures de tourisme",5354,3700,4089,3714
"Neuchâtel","> Véhicules de transport de personnes",106,112,150,121
"Neuchâtel","> Véhicules de transport de choses",472,416,432,356
"Neuchâtel","> Véhicules agricoles",39,42,53,48
"Neuchâtel","> Véhicules industriels",50,72,61,49
"Neuchâtel","> Motocycles",728,729,986,881
"Neuchâtel","> Remorques",292,296,263,272
"Genève","> Voitures de tourisme",11298,8642,8949,8465
"Genève","> Véhicules de transport de personnes",149,145,227,193
"Genève","> Véhicules de transport de choses",1302,982,1184,876
"Genève","> Véhicules agricoles",35,27,31,27
"Genève","> Véhicules industriels",63,72,56,75
"Genève","> Motocycles",4246,4333,4851,3894
"Genève","> Remorques",302,305,310,275
"Jura","> Voitures de tourisme",2269,1750,1884,1591
"Jura","> Véhicules de transport de personnes",51,62,78,67
"Jura","> Véhicules de transport de choses",240,194,183,170
"Jura","> Véhicules agricoles",74,71,85,55
"Jura","> Véhicules industriels",34,23,17,28
"Jura","> Motocycles",269,302,375,324
"Jura","> Remorques",185,199,221,183
