Année,Source de financement,BS,BE,FR,GE,LS,LU,NE,SG,UZH,USI,EPFL,ETHZ,FS-CH,IHEID
1996,"Déduction des dépenses non universitaires (FNRS, jusqu'en 1999)",0,0,0,-2579000,0,0,-32000,0,0,0,0,-2114000,...,...
1996,Projets du FNS,32730000,40360000,9274000,47359250,24863000,249000,9661575,1705000,34499000,0,16432000,35820000,...,...
1996,Projets de Innosuisse (autrefois CTI),1114000,0,204000,0,0,0,1930173,2106000,507000,0,9545000,12452000,...,...
1996,Programmes de recherche de l'UE,713000,0,174000,0,1010000,0,10490305,149000,1166000,0,0,0,...,...
1996,Autres programmes internationaux,596000,0,30000,50873,0,0,0,0,1487000,0,4100000,0,...,...
1996,Mandats de recherche de la Confédération,3797000,22127531,3940000,0,0,0,0,0,6558000,0,32104000,24429000,...,...
1996,"Mesures spéciales (subv. Extraord. LAU, jusqu'en 1999)",2096000,0,2040000,0,2840000,37000,0,1383000,42000,0,0,16401000,...,...
1996,"Programmes prioritaires (PPR, jusqu'en 1999)",38000,0,222000,4821991,0,0,0,0,888000,0,0,12012000,...,...
1996,Programmes COST (jusqu'en 1999),497000,0,131000,0,321000,0,0,0,171000,0,1207000,1896000,...,...
1996,Financement de projets de l'UE par le SEFRI,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,Mandats de recherche du secteur privé,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,Mandats de recherche des autres collectivités publiques,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,Revenus des prestations de service,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,Revenus de la formation continue,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,Canton: mandats publics (jusqu'en 1999),2693000,10101698,318000,500,0,0,0,0,2910000,0,0,0,...,...
1996,Autres cantons: mandats publics (jusqu'en 1999),53000,0,159000,0,0,0,0,0,604000,0,5619000,998000,...,...
1996,Communes: mandats publics (jusqu'en 1999),0,0,10000,0,0,0,0,0,136000,0,0,0,...,...
1996,Economie privée (jusqu'en 1999),3860000,31816915,1200000,48466520,0,0,0,27656000,9093000,0,14909000,42240000,...,...
1996,Fondations privées (jusqu'en 1999),13441000,0,538000,0,0,0,0,1252000,8998000,0,0,7421000,...,...
1996,Revenu de la fortune de l'université (jusqu'en 1999),0,0,8720000,4097422,1488000,0,0,0,0,0,0,0,...,...
1996,"Déduction des dépenses non universitaires (Crédit de tiers, jusqu'en 1999)",0,0,0,-7488000,0,0,-766000,0,0,0,0,-2733000,...,...
1996,Autres sources externes (jusqu'en 1999),7054000,4665706,0,23555130,9075000,0,4079111,3056000,7917000,0,0,0,...,...
1997,Ecolage,6712489,8187049,6608035,8297000,5728922,258805,1772454,3711403,20123555,0,3185000,7474000,...,...
1997,Autres moyens propres de la haute école,9937621,34200285,3357553,0,2860833,36316,917322,4788009,56932292,0,0,0,...,...
1997,Canton universitaire: couverture ou budget,99703376,276878674,35943914,301295000,149978996,4326944,36586627,22074152,398122432,0,0,0,...,...
1997,Canton: imputations internes (jusqu'en 1999),0,407802,-132098,0,0,-207813,0,63900,0,0,0,0,...,...
