id,updated,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,lastName,number,party,partyName,pictureUrl
3887,2019-10-25T15:18:44Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3887,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Alfred,Membre,,Heer,2690,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2690.jpg
4314,2020-03-31T09:19:39Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4314,AG,Argovie,N,V,Groupe de l'Union démocratique du Centre,Stefanie,Membre,www.stefanie-heimgartner.ch,Heimgartner,3210,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3210.jpg
4129,2019-12-03T13:42:26Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4129,TG,Thurgovie,N,V,Groupe de l'Union démocratique du Centre,Verena,Membre,www.verena-herzog.ch,Herzog,3033,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3033.jpg
4163,2019-12-12T17:28:12Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4163,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Erich,Membre,www.erichhess.ch,Hess,3078,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3078.jpg
4094,2021-03-22T16:47:43Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4094,BE,Berne,N,M-E,Le Groupe du Centre. Le Centre. PEV.,Lorenz,Membre,www.lorenzhess.ch,Hess,2799,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2799.jpg
4317,2020-02-26T09:20:30Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4317,AG,Argovie,N,V,Groupe de l'Union démocratique du Centre,Alois,Membre,www.aloishuber.ch,Huber,3213,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3213.jpg
1071,2019-12-04T09:02:41Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1071,AG,Argovie,N,M-E,Le Groupe du Centre. Le Centre. PEV.,Ruth,Membre,www.ruthhumbel.ch,Humbel,2580,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2580.jpg
4270,2019-11-15T12:01:42Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4270,NE,Neuchâtel,N,S,Groupe socialiste,Baptiste,Membre,,Hurni,3162,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3162.jpg
3890,2019-10-22T15:18:44Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3890,SH,Schaffhouse,N,V,Groupe de l'Union démocratique du Centre,Thomas,Membre,www.thomas-hurter.ch,Hurter,2693,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2693.jpg
4164,2020-05-18T08:39:04Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4164,SO,Soleure,N,V,Groupe de l'Union démocratique du Centre,Christian,Membre,www.christian-imark.ch,Imark,3080,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3080.jpg
4208,2020-02-14T08:53:24Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4208,AG,Argovie,N,RL,Groupe libéral-radical,Matthias Samuel,Membre,www.matthias-jauslin.ch,Jauslin,3109,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3109.jpg
4218,2019-11-19T15:58:56Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4218,AG,Argovie,N,G,Groupe des Verts,Irène,Membre,irenekaelin.ch,Kälin,3119,VERT-E-S,Les VERT-E-S suisses,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3119.jpg
4271,2020-12-08T14:26:21Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4271,VS,Valais,N,M-E,Le Groupe du Centre. Le Centre. PEV.,Sidney,Membre,www.sidneykamerzin.ch,Kamerzin,3163,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3163.jpg
4098,2019-11-12T11:57:21Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4098,NW,Nidwald,N,V,Groupe de l'Union démocratique du Centre,Peter,Membre,www.kellerpeter.ch,Keller,3013,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3013.jpg
4272,2021-06-02T07:31:19Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4272,GE,Genève,N,G,Groupe des Verts,Delphine,Membre,www.delphineklopfenstein.ch,Klopfenstein Broggini,3164,VERT-E-S,Les VERT-E-S suisses,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3164.jpg
4166,2019-11-14T15:20:39Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4166,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Roger,Membre,www.rogerköppel.ch,Köppel,3082,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3082.jpg
4225,2019-12-11T09:09:05Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4225,ZH,Zurich,N,M-E,Le Groupe du Centre. Le Centre. PEV.,Philipp,Membre,www.philippkutter.ch,Kutter,3126,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3126.jpg
4008,2019-11-07T16:21:13Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4008,GL,Glaris,N,M-E,Le Groupe du Centre. Le Centre. PEV.,Martin,Membre,www.landolt.info,Landolt,2735,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2735.jpg
4273,2020-12-14T10:40:21Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4273,GR,Grisons,N,S,Groupe socialiste,Sandra,Membre,locherbenguerel.ch,Locher Benguerel,3165,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3165.jpg
