"Canton","Groupe / Genre de véhicule","2019","2020","2021","2022","2023"
"Basel-Landschaft","... Remorque pour engins de sport",14,14,20,10,11
"Basel-Landschaft","... Remorque de travail",53,30,27,20,36
"Basel-Landschaft","... Semi-remorque transport de choses",83,53,43,38,53
"Basel-Landschaft","... Autres remorques",15,21,17,24,31
"Schaffhausen","... Remorque agricole",22,10,22,13,14
"Schaffhausen","... Remorque motocycle",0,0,0,0,0
"Schaffhausen","... Remorque de travail agricole",8,18,8,14,18
"Schaffhausen","... Remorque transport de choses",123,113,150,123,106
"Schaffhausen","... Caravane",14,13,21,17,26
"Schaffhausen","... Remorque pour engins de sport",13,13,21,13,11
"Schaffhausen","... Remorque de travail",3,8,6,5,8
"Schaffhausen","... Semi-remorque transport de choses",9,27,10,8,9
"Schaffhausen","... Autres remorques",13,10,7,3,4
"Appenzell Ausserrhoden","... Remorque agricole",5,9,6,9,3
"Appenzell Ausserrhoden","... Remorque motocycle",0,0,0,0,0
"Appenzell Ausserrhoden","... Remorque de travail agricole",1,5,3,4,3
"Appenzell Ausserrhoden","... Remorque transport de choses",109,109,103,113,96
"Appenzell Ausserrhoden","... Caravane",16,10,16,17,12
"Appenzell Ausserrhoden","... Remorque pour engins de sport",2,4,8,1,1
"Appenzell Ausserrhoden","... Remorque de travail",3,0,5,3,6
"Appenzell Ausserrhoden","... Semi-remorque transport de choses",0,0,3,4,3
"Appenzell Ausserrhoden","... Autres remorques",3,1,2,3,1
"Appenzell Innerrhoden","... Remorque agricole",8,3,3,5,1
"Appenzell Innerrhoden","... Remorque motocycle",0,0,0,0,0
"Appenzell Innerrhoden","... Remorque de travail agricole",0,6,5,5,1
"Appenzell Innerrhoden","... Remorque transport de choses",29,48,57,41,51
"Appenzell Innerrhoden","... Caravane",9,1,4,4,3
"Appenzell Innerrhoden","... Remorque pour engins de sport",1,1,1,0,1
"Appenzell Innerrhoden","... Remorque de travail",3,4,1,1,4
"Appenzell Innerrhoden","... Semi-remorque transport de choses",0,0,3,0,1
"Appenzell Innerrhoden","... Autres remorques",3,1,3,1,1
"St. Gallen","... Remorque agricole",61,56,60,66,59
"St. Gallen","... Remorque motocycle",0,0,1,1,0
"St. Gallen","... Remorque de travail agricole",59,45,55,66,45
"St. Gallen","... Remorque transport de choses",753,839,864,773,761
"St. Gallen","... Caravane",121,127,121,128,120
"St. Gallen","... Remorque pour engins de sport",21,29,39,49,32
"St. Gallen","... Remorque de travail",64,55,47,43,50
"St. Gallen","... Semi-remorque transport de choses",93,84,65,59,72
"St. Gallen","... Autres remorques",39,29,32,27,39
"Graubünden / Grigioni / Grischun","... Remorque agricole",13,11,19,18,14
"Graubünden / Grigioni / Grischun","... Remorque motocycle",0,0,0,0,0
"Graubünden / Grigioni / Grischun","... Remorque de travail agricole",9,8,18,15,7
"Graubünden / Grigioni / Grischun","... Remorque transport de choses",398,540,498,394,406
"Graubünden / Grigioni / Grischun","... Caravane",40,49,50,45,48
"Graubünden / Grigioni / Grischun","... Remorque pour engins de sport",13,13,7,13,13
"Graubünden / Grigioni / Grischun","... Remorque de travail",19,26,36,30,31
"Graubünden / Grigioni / Grischun","... Semi-remorque transport de choses",34,22,27,16,34
"Graubünden / Grigioni / Grischun","... Autres remorques",16,10,15,17,21
"Aargau","... Remorque agricole",59,55,72,75,53
"Aargau","... Remorque motocycle",2,0,1,1,0
"Aargau","... Remorque de travail agricole",44,29,47,35,31
"Aargau","... Remorque transport de choses",882,970,943,898,813
"Aargau","... Caravane",167,187,201,181,174
"Aargau","... Remorque pour engins de sport",61,51,70,66,39
"Aargau","... Remorque de travail",51,58,52,66,51
"Aargau","... Semi-remorque transport de choses",194,118,130,158,219
"Aargau","... Autres remorques",27,25,38,26,45
"Thurgau","... Remorque agricole",73,62,69,68,103
"Thurgau","... Remorque motocycle",0,0,0,0,0
"Thurgau","... Remorque de travail agricole",65,68,62,67,63
"Thurgau","... Remorque transport de choses",511,549,603,552,502
"Thurgau","... Caravane",91,89,98,93,84
"Thurgau","... Remorque pour engins de sport",66,81,105,73,67
"Thurgau","... Remorque de travail",19,23,23,28,28
"Thurgau","... Semi-remorque transport de choses",60,76,47,43,50
"Thurgau","... Autres remorques",24,9,20,27,19
"Ticino","... Remorque agricole",8,5,10,6,2
"Ticino","... Remorque motocycle",0,0,0,1,0
"Ticino","... Remorque de travail agricole",1,3,3,4,4
"Ticino","... Remorque transport de choses",291,267,406,241,228
"Ticino","... Caravane",12,16,14,21,8
"Ticino","... Remorque pour engins de sport",16,14,12,14,15
"Ticino","... Remorque de travail",20,33,30,19,24
"Ticino","... Semi-remorque transport de choses",48,23,24,34,34
"Ticino","... Autres remorques",3,1,8,6,4
"Vaud","... Remorque agricole",87,93,79,80,60
"Vaud","... Remorque motocycle",0,1,1,2,4
"Vaud","... Remorque de travail agricole",44,70,91,59,51
"Vaud","... Remorque transport de choses",883,933,1041,884,781
"Vaud","... Caravane",73,67,68,74,57
"Vaud","... Remorque pour engins de sport",57,65,57,45,49
"Vaud","... Remorque de travail",44,55,56,43,60
"Vaud","... Semi-remorque transport de choses",44,44,37,48,47
"Vaud","... Autres remorques",43,30,23,26,39
"Valais / Wallis","... Remorque agricole",11,7,7,4,13
"Valais / Wallis","... Remorque motocycle",1,2,1,1,2
"Valais / Wallis","... Remorque de travail agricole",6,5,4,6,4
"Valais / Wallis","... Remorque transport de choses",713,799,866,726,702
"Valais / Wallis","... Caravane",37,48,43,65,50
